zip_code,year_month,bait,clean_ups,compliance,initial,sighting,zip_year_month
10003,2011-09,2.0,0.0,27.0,107.0,5.0,10003 2011-09
10003,2011-10,14.0,0.0,6.0,9.0,6.0,10003 2011-10
10003,2011-11,10.0,0.0,1.0,13.0,8.0,10003 2011-11
10003,2011-12,7.0,0.0,8.0,20.0,2.0,10003 2011-12
10003,2012-01,4.0,0.0,16.0,33.0,1.0,10003 2012-01
10003,2012-02,4.0,0.0,7.0,15.0,2.0,10003 2012-02
10003,2012-03,11.0,0.0,6.0,257.0,15.0,10003 2012-03
10003,2012-04,16.0,0.0,6.0,58.0,6.0,10003 2012-04
10003,2012-05,4.0,0.0,7.0,827.0,2.0,10003 2012-05
10003,2012-06,0.0,0.0,86.0,123.0,6.0,10003 2012-06
10003,2012-07,0.0,0.0,0.0,11.0,5.0,10003 2012-07
10003,2012-08,0.0,0.0,5.0,10.0,4.0,10003 2012-08
10003,2012-09,37.0,0.0,4.0,69.0,6.0,10003 2012-09
10003,2012-10,1.0,0.0,1.0,346.0,3.0,10003 2012-10
10003,2012-11,0.0,0.0,5.0,56.0,1.0,10003 2012-11
10003,2012-12,0.0,0.0,4.0,153.0,9.0,10003 2012-12
10003,2013-01,0.0,0.0,14.0,42.0,3.0,10003 2013-01
10003,2013-02,1.0,0.0,1.0,14.0,3.0,10003 2013-02
10003,2013-03,17.0,0.0,22.0,394.0,9.0,10003 2013-03
10003,2013-04,16.0,0.0,49.0,560.0,4.0,10003 2013-04
10003,2013-05,21.0,0.0,19.0,8.0,3.0,10003 2013-05
10003,2013-06,17.0,0.0,3.0,14.0,6.0,10003 2013-06
10003,2013-07,8.0,0.0,10.0,11.0,5.0,10003 2013-07
10003,2013-08,6.0,0.0,5.0,14.0,7.0,10003 2013-08
10003,2013-09,5.0,0.0,10.0,13.0,5.0,10003 2013-09
10003,2013-10,9.0,0.0,3.0,10.0,8.0,10003 2013-10
10003,2013-11,3.0,0.0,6.0,11.0,5.0,10003 2013-11
10003,2013-12,3.0,0.0,4.0,4.0,2.0,10003 2013-12
